"Group","Variable","Units","Description"
"Contact Points", "CONTACT POINT IS SKIDDING:0", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:1", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:2", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:3", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:4", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:5", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:6", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:7", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:8", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:9", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:10", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:11", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:12", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:13", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:14", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:15", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:16", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:17", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:18", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS SKIDDING:19", "bool", "Returns true if the indexed contact point is skidding, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:0", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:1", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:2", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:3", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:4", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:5", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:6", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:7", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:8", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:9", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:10", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:11", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:12", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:13", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:14", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:15", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:16", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:17", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:18", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT POSITION:19", "position", "The currently extended position of the (retractable) contact point, expressed as a percentage. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:0", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:1", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:2", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:3", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:4", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:5", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:6", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:7", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:8", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:9", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:10", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:11", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:12", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:13", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:14", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:15", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:16", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:17", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:18", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT SKIDDING FACTOR:19", "percent over 100", "The skidding factor associated with the indexed contact point, from 0 to 1. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:0", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:1", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:2", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:3", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:4", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:5", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:6", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:7", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:8", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:9", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:10", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:11", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:12", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:13", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:14", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:15", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:16", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:17", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:18", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
"Contact Points", "CONTACT POINT WATER DEPTH:19", "feet", "This returns the depth of the water for the indexed contact point. Index is from 0 - 19."
